                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8624,                 3.0438,                  3.953,                0.00323,                0.26927,                0.01096,                0.00353,                 3.7456,                 3.3201,                 3.7569,               0.070469,              0.0032813,              0.0032813
                      2,                 3.4241,                 2.5713,                 3.4434,                0.01861,                0.28947,                0.01959,                0.00662,                 3.5524,                 3.1609,                 3.6873,               0.040452,              0.0065982,              0.0065982
                      3,                 2.9486,                 2.3348,                 2.9904,                0.15816,                0.17271,                0.07894,                0.02599,                 3.2598,                  2.996,                 3.5205,                0.01042,              0.0098987,              0.0098987
                      4,                 2.6894,                 2.1645,                   2.69,                0.23914,                0.22791,                0.14179,                0.05083,                 2.6829,                 2.3452,                 2.8333,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.4985,                 2.0146,                 2.4643,                0.24177,                0.24662,                0.16996,                  0.069,                 2.4805,                 2.4263,                  2.561,               0.009901,               0.009901,               0.009901
                      6,                 2.3472,                 1.9183,                 2.3071,                0.32834,                0.26412,                 0.2286,                0.09451,                 2.3258,                 2.0712,                 2.3727,              0.0098763,              0.0098763,              0.0098763
                      7,                 2.2158,                  1.846,                 2.1661,                0.36377,                0.27314,                0.24673,                0.10574,                 2.2275,                 2.2398,                 2.2431,              0.0098515,              0.0098515,              0.0098515
                      8,                 2.1383,                 1.8106,                 2.1097,                 0.5366,                0.29833,                0.28958,                0.12859,                  2.197,                 1.9891,                 2.2173,              0.0098268,              0.0098268,              0.0098268
                      9,                 2.0622,                 1.7366,                 2.0188,                0.50356,                0.27549,                0.24903,                0.10865,                  2.219,                 2.5803,                 2.1909,               0.009802,               0.009802,               0.009802
                     10,                 1.9952,                 1.6847,                 1.9675,                0.54205,                0.32335,                0.33718,                 0.1655,                 1.9673,                 1.8833,                 2.0243,              0.0097773,              0.0097773,              0.0097773
                     11,                 1.9475,                 1.6623,                 1.9185,                0.56631,                0.29646,                0.30135,                0.14753,                 1.9728,                 1.9734,                 2.0287,              0.0097525,              0.0097525,              0.0097525
                     12,                 1.9083,                 1.6342,                 1.8967,                0.51237,                0.31673,                0.33409,                0.16444,                 1.9564,                 1.7698,                 1.9977,              0.0097278,              0.0097278,              0.0097278
                     13,                 1.8631,                 1.5842,                 1.8382,                0.52519,                 0.3275,                0.35327,                0.17798,                 1.9248,                  1.745,                 1.9758,               0.009703,               0.009703,               0.009703
                     14,                 1.8368,                 1.5637,                 1.8155,                0.55397,                 0.3696,                0.38944,                0.19902,                 1.8685,                 1.6514,                 1.9085,              0.0096783,              0.0096783,              0.0096783
