                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.8209,                 1.5633,                 1.8107,                0.58869,                0.37114,                0.39111,                0.20329,                 1.8249,                 1.6646,                  1.878,              0.0096535,              0.0096535,              0.0096535
                     16,                 1.7891,                 1.5314,                  1.789,                0.51481,                0.34123,                0.33837,                0.17111,                 1.8982,                 1.7783,                 1.9393,              0.0096288,              0.0096288,              0.0096288
                     17,                 1.7813,                 1.5221,                 1.7705,                0.57843,                0.37385,                0.40112,                0.20947,                  1.794,                 1.5947,                  1.847,               0.009604,               0.009604,               0.009604
                     18,                 1.7651,                 1.5075,                 1.7589,                0.54285,                0.38132,                0.40574,                0.21076,                 1.7882,                 1.5783,                 1.8286,              0.0095793,              0.0095793,              0.0095793
                     19,                 1.7358,                 1.4917,                  1.742,                0.55977,                0.39219,                  0.409,                0.21062,                 1.7975,                 1.5853,                 1.8419,              0.0095545,              0.0095545,              0.0095545
                     20,                 1.7427,                 1.4927,                 1.7481,                0.56417,                0.38991,                0.40831,                0.21364,                 1.7734,                 1.5735,                 1.8113,              0.0095298,              0.0095298,              0.0095298
                     21,                 1.7088,                  1.457,                  1.713,                0.53973,                  0.387,                0.39997,                0.20982,                 1.7778,                 1.5803,                 1.8092,               0.009505,               0.009505,               0.009505
                     22,                  1.709,                 1.4584,                 1.7116,                0.57891,                0.39585,                0.42078,                0.22499,                 1.7381,                 1.5192,                 1.7743,              0.0094803,              0.0094803,              0.0094803
                     23,                 1.7007,                 1.4483,                 1.6979,                0.48979,                 0.4427,                 0.4341,                0.22234,                 1.7541,                 1.4972,                 1.7775,              0.0094555,              0.0094555,              0.0094555
                     24,                 1.6874,                 1.4256,                 1.6799,                0.59044,                0.39448,                0.43005,                0.22286,                  1.752,                 1.6031,                 1.7763,              0.0094307,              0.0094307,              0.0094307
                     25,                 1.6759,                 1.4113,                  1.666,                0.56273,                0.38507,                0.41731,                0.21607,                 1.7741,                 1.6663,                 1.7979,               0.009406,               0.009406,               0.009406
                     26,                 1.6534,                 1.4035,                 1.6642,                0.57619,                0.41288,                0.44794,                0.23786,                 1.7294,                 1.4788,                 1.7551,              0.0093813,              0.0093813,              0.0093813
                     27,                 1.6572,                 1.4005,                 1.6647,                0.55105,                0.41908,                0.45653,                0.24165,                 1.7021,                  1.469,                 1.7275,              0.0093565,              0.0093565,              0.0093565
                     28,                 1.6447,                 1.3839,                 1.6431,                0.51188,                0.41517,                0.43245,                 0.2309,                 1.7253,                 1.4911,                 1.7496,              0.0093317,              0.0093317,              0.0093317
                     29,                 1.6423,                 1.3703,                 1.6363,                0.54416,                0.44232,                0.46322,                0.24502,                 1.6983,                  1.451,                 1.7214,               0.009307,               0.009307,               0.009307
                     30,                 1.6298,                 1.3392,                 1.6191,                0.52908,                0.43152,                0.44152,                 0.2316,                 1.7381,                  1.567,                 1.7391,              0.0092823,              0.0092823,              0.0092823
                     31,                 1.6187,                 1.3542,                 1.6258,                0.50088,                0.45445,                0.43726,                0.21941,                 1.7632,                 1.5851,                 1.7581,              0.0092575,              0.0092575,              0.0092575
                     32,                 1.6215,                 1.3409,                  1.618,                0.53973,                0.44779,                 0.4727,                0.24897,                 1.6712,                 1.4277,                 1.6933,              0.0092327,              0.0092327,              0.0092327
                     33,                 1.6074,                 1.3542,                   1.62,                0.58242,                0.44205,                0.47908,                0.25996,                 1.6484,                 1.3696,                 1.6862,               0.009208,               0.009208,               0.009208
                     34,                 1.6062,                 1.3302,                 1.6029,                0.54228,                0.45701,                0.47692,                0.24969,                 1.6808,                 1.4363,                 1.6828,              0.0091833,              0.0091833,              0.0091833
                     35,                 1.6113,                 1.3355,                  1.609,                0.58829,                0.45939,                0.49867,                0.26794,                  1.643,                 1.3826,                 1.6674,              0.0091585,              0.0091585,              0.0091585
                     36,                 1.5962,                 1.3082,                 1.5895,                 0.5476,                0.43936,                0.44905,                0.23594,                 1.7283,                 1.5123,                 1.7339,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.5731,                  1.289,                 1.5786,                0.55945,                0.47651,                0.50054,                0.26885,                 1.6328,                 1.3428,                 1.6585,               0.009109,               0.009109,               0.009109
                     38,                 1.5746,                 1.3042,                 1.5802,                0.57553,                0.47625,                0.50203,                0.26845,                 1.6437,                 1.3666,                 1.6632,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.5726,                 1.2933,                 1.5699,                0.53406,                0.46627,                0.48365,                0.25485,                 1.6297,                 1.3711,                 1.6557,              0.0090595,              0.0090595,              0.0090595
                     40,                  1.551,                 1.2742,                 1.5691,                0.52495,                0.46019,                0.47534,                0.25149,                 1.6453,                 1.3688,                 1.6599,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.5674,                 1.2941,                 1.5748,                0.62479,                0.45842,                0.51181,                0.27641,                  1.619,                 1.3304,                 1.6423,                0.00901,                0.00901,                0.00901
                     42,                 1.5612,                 1.2857,                 1.5765,                0.55915,                0.48434,                0.49249,                0.26249,                 1.6435,                 1.4013,                 1.6574,              0.0089853,              0.0089853,              0.0089853
                     43,                 1.5423,                 1.2596,                 1.5457,                0.56717,                0.46928,                0.49216,                0.26301,                 1.6724,                 1.4047,                 1.6706,              0.0089605,              0.0089605,              0.0089605
                     44,                 1.5487,                 1.2574,                  1.549,                0.53238,                0.47925,                 0.4835,                0.25271,                 1.6881,                 1.4758,                 1.6871,              0.0089358,              0.0089358,              0.0089358
                     45,                  1.545,                 1.2584,                 1.5473,                0.57655,                0.47087,                 0.4957,                0.26748,                 1.6382,                 1.3639,                 1.6468,               0.008911,               0.008911,               0.008911
                     46,                 1.5432,                 1.2505,                 1.5494,                0.55053,                 0.4753,                0.48201,                0.25354,                 1.6807,                 1.4839,                 1.6856,              0.0088863,              0.0088863,              0.0088863
                     47,                 1.5353,                 1.2233,                 1.5269,                0.60558,                0.48579,                0.52312,                0.28687,                 1.5923,                 1.2848,                 1.6121,              0.0088615,              0.0088615,              0.0088615
                     48,                 1.5315,                 1.2494,                 1.5346,                0.52868,                0.49223,                0.50047,                0.26674,                 1.6505,                 1.4107,                 1.6497,              0.0088368,              0.0088368,              0.0088368
                     49,                 1.5173,                 1.2205,                 1.5163,                 0.5843,                0.50189,                0.52063,                0.27601,                 1.6506,                 1.3621,                 1.6383,               0.008812,               0.008812,               0.008812
                     50,                 1.5181,                 1.2303,                 1.5303,                0.59819,                0.49266,                0.52715,                0.28507,                 1.5826,                  1.289,                 1.6085,              0.0087872,              0.0087872,              0.0087872
                     51,                 1.5095,                  1.228,                 1.5274,                0.56981,                0.50641,                0.52751,                0.28897,                 1.5917,                 1.2779,                 1.6184,              0.0087625,              0.0087625,              0.0087625
                     52,                 1.5046,                 1.2033,                 1.5129,                0.60198,                 0.4759,                0.50793,                0.26822,                  1.658,                 1.4507,                 1.6597,              0.0087378,              0.0087378,              0.0087378
                     53,                 1.5064,                 1.2137,                 1.5199,                0.61098,                0.50873,                0.54299,                0.29686,                 1.5829,                 1.2571,                 1.6019,               0.008713,               0.008713,               0.008713
                     54,                 1.4991,                 1.1996,                  1.509,                 0.6045,                0.52124,                0.53785,                0.28706,                 1.6147,                 1.3046,                   1.62,              0.0086882,              0.0086882,              0.0086882
                     55,                 1.5005,                 1.2006,                 1.5148,                 0.5864,                0.49716,                0.52145,                0.28163,                 1.6102,                 1.3207,                 1.6178,              0.0086635,              0.0086635,              0.0086635
                     56,                  1.496,                 1.1952,                 1.5038,                0.60264,                 0.4827,                0.51786,                0.29021,                 1.5944,                 1.2937,                 1.6077,              0.0086388,              0.0086388,              0.0086388
                     57,                 1.4899,                 1.1867,                 1.5057,                0.61948,                0.49378,                0.53134,                0.28382,                 1.6099,                  1.309,                 1.6127,               0.008614,               0.008614,               0.008614
                     58,                 1.4861,                 1.1897,                 1.5098,                0.61218,                0.50605,                0.54221,                0.29667,                 1.5783,                 1.2432,                 1.5977,              0.0085893,              0.0085893,              0.0085893
                     59,                 1.4859,                 1.1785,                 1.4968,                0.56282,                0.52172,                0.53252,                0.29245,                 1.5838,                 1.2625,                 1.6016,              0.0085645,              0.0085645,              0.0085645
                     60,                 1.4725,                 1.1618,                 1.4836,                0.62359,                0.49548,                 0.5252,                 0.2885,                 1.5873,                 1.2806,                 1.5963,              0.0085398,              0.0085398,              0.0085398
                     61,                 1.4806,                 1.1667,                 1.4878,                0.56855,                0.50354,                0.53772,                0.29316,                 1.5697,                 1.2578,                 1.5868,               0.008515,               0.008515,               0.008515
                     62,                 1.4777,                 1.1695,                 1.4922,                 0.5857,                0.46055,                0.49711,                0.25965,                 1.7049,                 1.4583,                 1.6767,              0.0084903,              0.0084903,              0.0084903
                     63,                 1.4776,                 1.1649,                 1.4812,                0.62895,                 0.5091,                0.54519,                0.29777,                 1.5744,                 1.2358,                 1.5796,              0.0084655,              0.0084655,              0.0084655
                     64,                  1.469,                 1.1545,                 1.4724,                0.65526,                0.50485,                0.55423,                0.30535,                 1.5408,                 1.2191,                 1.5634,              0.0084408,              0.0084408,              0.0084408
                     65,                 1.4695,                 1.1404,                 1.4707,                0.62777,                0.50431,                0.54609,                0.29926,                  1.569,                 1.2324,                 1.5759,               0.008416,               0.008416,               0.008416
                     66,                 1.4581,                 1.1489,                 1.4828,                0.60292,                0.50389,                0.53961,                0.29488,                  1.573,                 1.2393,                 1.5809,              0.0083913,              0.0083913,              0.0083913
                     67,                 1.4679,                 1.1501,                 1.4754,                0.61003,                0.52576,                0.55252,                0.30586,                  1.559,                 1.2292,                 1.5729,              0.0083665,              0.0083665,              0.0083665
                     68,                 1.4604,                 1.1513,                 1.4778,                0.60158,                0.52536,                0.54276,                0.29425,                 1.5818,                  1.266,                 1.5901,              0.0083418,              0.0083418,              0.0083418
                     69,                 1.4615,                 1.1447,                 1.4668,                0.60516,                0.52331,                0.55499,                0.30095,                 1.5789,                 1.2376,                 1.5857,               0.008317,               0.008317,               0.008317
                     70,                 1.4489,                 1.1252,                 1.4534,                0.61612,                0.52453,                0.56118,                0.30993,                 1.5516,                 1.2074,                 1.5631,              0.0082922,              0.0082922,              0.0082922
                     71,                 1.4445,                 1.1214,                  1.447,                0.62198,                0.50524,                 0.5558,                0.30415,                 1.5588,                 1.2058,                 1.5679,              0.0082675,              0.0082675,              0.0082675
                     72,                 1.4454,                 1.1365,                 1.4687,                0.61571,                0.51576,                0.54782,                0.29723,                 1.5864,                 1.2674,                 1.5926,              0.0082428,              0.0082428,              0.0082428
                     73,                 1.4403,                  1.124,                 1.4561,                0.63372,                0.52118,                0.56213,                0.30974,                 1.5574,                 1.2014,                 1.5687,               0.008218,               0.008218,               0.008218
                     74,                 1.4421,                 1.1137,                 1.4597,                0.61352,                0.53697,                 0.5704,                0.31461,                 1.5516,                 1.1995,                 1.5624,              0.0081932,              0.0081932,              0.0081932
                     75,                 1.4287,                 1.1153,                 1.4522,                0.61226,                0.52986,                0.56772,                0.31306,                 1.5368,                 1.1869,                 1.5506,              0.0081685,              0.0081685,              0.0081685
                     76,                 1.4306,                 1.1047,                  1.443,                0.61954,                0.54092,                0.56514,                0.31354,                 1.5526,                 1.1988,                 1.5643,              0.0081437,              0.0081437,              0.0081437
                     77,                 1.4339,                 1.1082,                 1.4468,                0.63735,                0.53152,                0.56199,                0.31188,                 1.5567,                   1.24,                 1.5729,               0.008119,               0.008119,               0.008119
                     78,                 1.4153,                 1.0865,                 1.4334,                0.62696,                0.53031,                0.56479,                  0.313,                 1.5579,                 1.2153,                 1.5684,              0.0080942,              0.0080942,              0.0080942
                     79,                 1.4291,                  1.104,                 1.4377,                0.63045,                0.53454,                0.56183,                0.31013,                 1.5557,                 1.1938,                  1.565,              0.0080695,              0.0080695,              0.0080695
                     80,                 1.4217,                 1.0899,                 1.4333,                0.60489,                0.54941,                0.56856,                 0.3155,                 1.5468,                 1.1886,                 1.5595,              0.0080447,              0.0080447,              0.0080447
                     81,                 1.4248,                 1.0928,                 1.4363,                0.62563,                0.50617,                0.55233,                0.30362,                 1.5873,                 1.2796,                 1.5909,                0.00802,                0.00802,                0.00802
                     82,                  1.422,                 1.0881,                 1.4347,                0.60862,                0.53686,                0.55913,                0.30721,                 1.5597,                 1.2167,                 1.5644,              0.0079953,              0.0079953,              0.0079953
                     83,                 1.4225,                  1.095,                 1.4396,                0.62984,                0.53725,                0.57676,                0.31752,                  1.552,                 1.1841,                 1.5644,              0.0079705,              0.0079705,              0.0079705
                     84,                 1.4236,                 1.0941,                 1.4359,                0.61015,                0.52354,                0.54925,                0.29943,                 1.5882,                 1.2752,                 1.5837,              0.0079457,              0.0079457,              0.0079457
                     85,                  1.414,                 1.0829,                  1.437,                  0.643,                 0.5233,                 0.5651,                0.31315,                 1.5504,                 1.1867,                 1.5595,               0.007921,               0.007921,               0.007921
                     86,                 1.4182,                 1.0815,                 1.4366,                0.64179,                0.52539,                0.56821,                0.31115,                  1.552,                  1.213,                 1.5567,              0.0078963,              0.0078963,              0.0078963
                     87,                  1.409,                 1.0852,                  1.431,                0.62959,                 0.5445,                0.57417,                0.32081,                 1.5293,                 1.1583,                 1.5441,              0.0078715,              0.0078715,              0.0078715
                     88,                 1.4047,                 1.0706,                 1.4222,                0.63565,                0.55042,                0.57959,                0.32343,                 1.5282,                 1.1566,                 1.5421,              0.0078467,              0.0078467,              0.0078467
                     89,                 1.4045,                 1.0745,                   1.42,                0.63996,                0.53104,                0.57558,                0.31905,                 1.5255,                 1.1632,                 1.5374,               0.007822,               0.007822,               0.007822
                     90,                 1.4098,                 1.0785,                 1.4224,                 0.6344,                0.54484,                0.57964,                0.31869,                 1.5408,                 1.1745,                 1.5426,              0.0077973,              0.0077973,              0.0077973
                     91,                  1.402,                 1.0718,                 1.4226,                 0.6369,                0.55281,                0.58793,                0.32444,                  1.529,                  1.158,                  1.536,              0.0077725,              0.0077725,              0.0077725
                     92,                 1.3923,                 1.0541,                  1.411,                0.62871,                0.53498,                0.56453,                0.30214,                 1.5752,                 1.1941,                 1.5701,              0.0077478,              0.0077478,              0.0077478
                     93,                 1.3893,                 1.0523,                 1.4125,                0.61925,                0.55661,                0.57923,                0.31987,                 1.5261,                 1.1582,                 1.5342,               0.007723,               0.007723,               0.007723
                     94,                 1.3984,                 1.0655,                 1.4173,                0.59627,                0.53223,                0.55519,                0.30107,                  1.577,                 1.2395,                 1.5692,              0.0076983,              0.0076983,              0.0076983
                     95,                 1.3844,                 1.0557,                  1.408,                0.64439,                0.54372,                0.58437,                0.32373,                 1.5238,                 1.1478,                 1.5351,              0.0076735,              0.0076735,              0.0076735
                     96,                 1.3909,                 1.0597,                  1.423,                  0.637,                0.55738,                0.58378,                0.32652,                 1.5339,                 1.1562,                 1.5437,              0.0076488,              0.0076488,              0.0076488
                     97,                 1.3903,                 1.0571,                 1.4078,                0.59934,                 0.5522,                0.57832,                0.32062,                 1.5345,                 1.1554,                 1.5423,               0.007624,               0.007624,               0.007624
                     98,                 1.3801,                  1.046,                 1.4063,                0.65613,                0.54314,                0.58334,                0.32752,                 1.5169,                 1.1391,                 1.5241,              0.0075993,              0.0075993,              0.0075993
                     99,                  1.387,                 1.0562,                 1.4104,                0.63659,                 0.5269,                0.57524,                0.32144,                  1.529,                 1.1505,                 1.5366,              0.0075745,              0.0075745,              0.0075745
                    100,                 1.3844,                 1.0488,                 1.4062,                0.61953,                0.55548,                0.58337,                 0.3266,                 1.5164,                 1.1337,                 1.5323,              0.0075498,              0.0075498,              0.0075498
                    101,                 1.3792,                  1.052,                  1.411,                0.62346,                0.56001,                0.58445,                0.32353,                   1.53,                 1.1449,                  1.532,               0.007525,               0.007525,               0.007525
                    102,                 1.3789,                  1.028,                 1.4017,                0.63848,                 0.5523,                0.58564,                 0.3265,                 1.5209,                 1.1376,                 1.5278,              0.0075003,              0.0075003,              0.0075003
                    103,                 1.3712,                 1.0263,                 1.3866,                0.64479,                0.54213,                0.58337,                0.32447,                 1.5495,                 1.1562,                 1.5528,              0.0074755,              0.0074755,              0.0074755
                    104,                 1.3752,                 1.0305,                 1.3962,                0.64089,                0.55356,                 0.5861,                0.32984,                 1.5118,                 1.1383,                 1.5271,              0.0074507,              0.0074507,              0.0074507
                    105,                 1.3795,                 1.0376,                 1.4068,                0.63151,                 0.5499,                0.58492,                0.32387,                 1.5215,                  1.127,                 1.5371,               0.007426,               0.007426,               0.007426
                    106,                 1.3687,                 1.0392,                 1.3978,                0.64815,                0.55588,                0.58996,                0.33068,                 1.5215,                 1.1422,                 1.5243,              0.0074013,              0.0074013,              0.0074013
                    107,                 1.3686,                  1.034,                 1.3978,                0.67215,                0.53333,                0.59222,                0.32777,                   1.53,                 1.1333,                 1.5399,              0.0073765,              0.0073765,              0.0073765
                    108,                   1.36,                  1.029,                 1.3886,                0.63116,                0.55402,                0.58928,                0.32296,                 1.5254,                 1.1376,                 1.5382,              0.0073517,              0.0073517,              0.0073517
                    109,                 1.3667,                 1.0236,                 1.3916,                0.64221,                0.55056,                0.58577,                0.32817,                 1.5341,                 1.1425,                 1.5404,               0.007327,               0.007327,               0.007327
                    110,                 1.3621,                 1.0245,                 1.3947,                0.63152,                0.55093,                0.58671,                0.32899,                  1.513,                 1.1315,                 1.5255,              0.0073023,              0.0073023,              0.0073023
                    111,                 1.3515,                 1.0072,                 1.3778,                0.65401,                0.54839,                0.58896,                0.32643,                 1.5382,                 1.1458,                  1.546,              0.0072775,              0.0072775,              0.0072775
                    112,                 1.3564,                 1.0171,                 1.3826,                0.63112,                0.56355,                 0.5925,                 0.3307,                 1.5147,                 1.1202,                 1.5219,              0.0072527,              0.0072527,              0.0072527
                    113,                  1.353,                 1.0109,                 1.3809,                  0.646,                0.56552,                0.59759,                 0.3368,                 1.5097,                 1.1186,                 1.5186,               0.007228,               0.007228,               0.007228
                    114,                 1.3651,                 1.0236,                 1.3938,                0.64752,                0.55195,                0.59615,                0.33446,                 1.5107,                 1.1183,                  1.519,              0.0072033,              0.0072033,              0.0072033
                    115,                 1.3522,                 1.0146,                 1.3811,                0.63995,                0.55547,                0.59288,                0.33291,                 1.5217,                 1.1311,                 1.5246,              0.0071785,              0.0071785,              0.0071785
                    116,                 1.3522,                 1.0061,                 1.3838,                0.64749,                0.56071,                0.60185,                0.33863,                 1.5091,                 1.1114,                 1.5255,              0.0071538,              0.0071538,              0.0071538
                    117,                 1.3485,                 1.0081,                 1.3833,                0.65495,                0.54805,                0.59853,                0.33271,                 1.5169,                 1.1129,                 1.5256,               0.007129,               0.007129,               0.007129
                    118,                  1.361,                 1.0094,                 1.3873,                0.65492,                 0.5377,                0.58699,                0.32875,                 1.5088,                 1.1332,                 1.5211,              0.0071042,              0.0071042,              0.0071042
                    119,                 1.3475,                 1.0034,                 1.3746,                0.65404,                0.56118,                0.60169,                0.33677,                 1.5069,                 1.1089,                  1.518,              0.0070795,              0.0070795,              0.0070795
                    120,                 1.3551,                 1.0071,                 1.3831,                 0.6555,                0.54005,                0.59049,                0.32617,                 1.5416,                 1.1503,                 1.5486,              0.0070547,              0.0070547,              0.0070547
                    121,                 1.3407,                0.99714,                 1.3769,                0.64749,                0.54379,                0.58226,                0.32481,                 1.5279,                 1.1374,                 1.5295,                0.00703,                0.00703,                0.00703
                    122,                 1.3435,                0.99467,                 1.3674,                0.63895,                0.56863,                0.59615,                0.33075,                 1.5269,                 1.1323,                 1.5332,              0.0070053,              0.0070053,              0.0070053
                    123,                 1.3442,                 1.0001,                 1.3785,                0.65531,                 0.5624,                0.60418,                0.33315,                 1.5129,                 1.1177,                  1.517,              0.0069805,              0.0069805,              0.0069805
                    124,                 1.3345,                0.98191,                 1.3662,                0.68163,                0.56479,                 0.6104,                0.34394,                 1.5011,                  1.097,                 1.5102,              0.0069558,              0.0069558,              0.0069558
                    125,                 1.3332,                0.98406,                 1.3655,                0.66941,                0.55089,                0.60833,                0.33798,                 1.5194,                 1.1186,                 1.5325,               0.006931,               0.006931,               0.006931
                    126,                 1.3351,                0.99226,                  1.378,                0.64194,                 0.5675,                0.59961,                 0.3331,                 1.5184,                 1.1213,                 1.5274,              0.0069063,              0.0069063,              0.0069063
                    127,                 1.3307,                0.99123,                 1.3661,                0.65463,                0.55712,                0.59991,                0.33399,                 1.5111,                 1.1123,                 1.5194,              0.0068815,              0.0068815,              0.0068815
                    128,                  1.333,                0.97833,                 1.3612,                0.66429,                 0.5531,                0.59958,                0.34021,                 1.5052,                 1.0977,                 1.5175,              0.0068568,              0.0068568,              0.0068568
                    129,                 1.3355,                0.97751,                 1.3589,                0.63973,                0.57645,                0.60345,                0.34034,                 1.5049,                 1.0913,                 1.5112,               0.006832,               0.006832,               0.006832
                    130,                 1.3239,                0.98127,                 1.3586,                0.66578,                0.55889,                 0.6093,                0.34218,                 1.5015,                 1.1002,                 1.5125,              0.0068073,              0.0068073,              0.0068073
                    131,                 1.3209,                0.96856,                 1.3566,                0.66681,                0.55865,                0.60598,                 0.3431,                 1.5106,                 1.0897,                   1.52,              0.0067825,              0.0067825,              0.0067825
                    132,                 1.3136,                 0.9559,                 1.3422,                0.65604,                0.57278,                 0.6138,                0.34645,                 1.5036,                 1.0848,                 1.5131,              0.0067577,              0.0067577,              0.0067577
                    133,                 1.3196,                0.97983,                 1.3617,                0.66638,                0.57917,                  0.618,                0.33947,                  1.509,                 1.1002,                 1.5179,               0.006733,               0.006733,               0.006733
                    134,                 1.3216,                0.98246,                 1.3632,                0.65941,                0.56479,                 0.6059,                0.33842,                 1.5103,                 1.0899,                 1.5181,              0.0067082,              0.0067082,              0.0067082
                    135,                 1.3207,                0.96413,                 1.3516,                 0.6513,                 0.5638,                0.60764,                 0.3457,                 1.5109,                 1.0831,                 1.5222,              0.0066835,              0.0066835,              0.0066835
                    136,                 1.3282,                0.97049,                 1.3594,                0.66958,                0.56287,                0.60986,                0.33885,                 1.5143,                 1.0985,                 1.5254,              0.0066587,              0.0066587,              0.0066587
                    137,                 1.3141,                0.96308,                 1.3477,                0.65308,                0.57365,                0.60343,                0.33851,                 1.5036,                  1.091,                 1.5173,               0.006634,               0.006634,               0.006634
                    138,                 1.3207,                0.96218,                 1.3497,                0.66524,                0.55582,                0.60593,                 0.3405,                 1.5066,                   1.09,                 1.5156,              0.0066092,              0.0066092,              0.0066092
                    139,                 1.3195,                0.96634,                 1.3609,                0.64098,                0.56707,                0.60076,                0.33232,                 1.5229,                 1.1034,                 1.5295,              0.0065845,              0.0065845,              0.0065845
                    140,                 1.3062,                0.95262,                 1.3517,                0.66393,                0.55707,                0.60464,                0.33952,                 1.5042,                  1.095,                  1.513,              0.0065598,              0.0065598,              0.0065598
                    141,                 1.3175,                0.96481,                 1.3504,                0.67753,                0.57816,                 0.6185,                0.34734,                 1.5015,                 1.0876,                 1.5114,               0.006535,               0.006535,               0.006535
                    142,                  1.316,                0.96215,                  1.353,                0.66308,                0.55781,                0.61166,                0.34129,                 1.5016,                 1.0798,                 1.5144,              0.0065102,              0.0065102,              0.0065102
                    143,                 1.3184,                0.96983,                 1.3575,                0.64997,                 0.5644,                0.60506,                0.33936,                 1.5188,                 1.0832,                 1.5248,              0.0064855,              0.0064855,              0.0064855
                    144,                 1.3088,                 0.9489,                 1.3451,                0.66821,                0.56495,                 0.6102,                 0.3443,                 1.5026,                 1.0745,                 1.5122,              0.0064608,              0.0064608,              0.0064608
                    145,                 1.3063,                0.94526,                 1.3464,                0.65954,                 0.5646,                0.60448,                0.33491,                 1.5191,                 1.1153,                 1.5254,               0.006436,               0.006436,               0.006436
                    146,                 1.3001,                0.94718,                 1.3392,                0.67511,                0.56426,                0.61375,                0.34755,                 1.4968,                 1.0801,                 1.5104,              0.0064112,              0.0064112,              0.0064112
                    147,                 1.3092,                 0.9564,                 1.3438,                0.65413,                0.55881,                0.60875,                  0.345,                 1.4936,                 1.0791,                  1.503,              0.0063865,              0.0063865,              0.0063865
                    148,                 1.3055,                0.94732,                 1.3401,                0.65858,                0.57352,                0.61411,                0.34233,                 1.5112,                  1.095,                 1.5175,              0.0063618,              0.0063618,              0.0063618
                    149,                 1.2988,                0.94027,                 1.3428,                0.65529,                0.57508,                0.61608,                0.34505,                 1.5002,                 1.0863,                 1.5039,               0.006337,               0.006337,               0.006337
                    150,                 1.2955,                0.93683,                 1.3291,                0.68054,                0.57012,                0.61975,                0.34868,                 1.4926,                 1.0693,                 1.5006,              0.0063122,              0.0063122,              0.0063122
                    151,                 1.2999,                 0.9481,                 1.3366,                0.67532,                0.57198,                0.61407,                0.34261,                 1.5052,                 1.0767,                 1.5179,              0.0062875,              0.0062875,              0.0062875
                    152,                 1.2977,                0.93519,                 1.3335,                0.65018,                0.56362,                0.60218,                0.33437,                 1.5063,                 1.0812,                 1.5127,              0.0062628,              0.0062628,              0.0062628
