                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 24.421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070469,              0.0032813,              0.0032813
                      2,                      0,                0.00063,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040436,              0.0065818,              0.0065818
                      3,                      0,                0.00042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01037,              0.0098494,              0.0098494
                      4,                      0,                0.00034,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                      0,                0.00016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
