                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8819,                 3.2154,                 4.0451,                0.00322,                0.26873,                0.00972,                0.00384,                 3.7364,                 3.2018,                 3.8009,                 0.0721,                 0.0031,                 0.0031
                      2,                 3.4969,                  2.601,                 3.5202,                0.50329,                0.27424,                0.25985,                0.05317,                 3.7305,                 3.4573,                 3.7289,               0.043284,              0.0062844,              0.0062844
                      3,                 3.0478,                 2.3871,                 3.1103,                0.01998,                0.23913,                0.01956,                0.00656,                 3.3528,                 2.9512,                 3.5701,               0.014453,               0.009453,               0.009453
                      4,                 2.7702,                 2.2142,                 2.7961,                0.66685,                0.13512,                0.13524,                0.04602,                 2.8664,                 2.4729,                 3.0153,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.5393,                 2.0699,                 2.5492,                0.19505,                0.24019,                0.13762,                0.05184,                 2.6865,                 2.8031,                 2.8346,               0.009901,               0.009901,               0.009901
                      6,                 2.3834,                 1.9498,                 2.3653,                0.29689,                0.25103,                0.20165,                0.08595,                 2.3721,                 2.1069,                 2.4932,              0.0098763,              0.0098763,              0.0098763
                      7,                 2.2513,                 1.8593,                 2.2202,                 0.3181,                0.24354,                0.22477,                0.09325,                 2.4019,                 2.1877,                 2.4528,              0.0098515,              0.0098515,              0.0098515
                      8,                 2.1492,                 1.8091,                 2.1228,                0.41798,                0.28867,                0.27436,                 0.1187,                 2.1531,                  1.912,                 2.2407,              0.0098268,              0.0098268,              0.0098268
                      9,                 2.0713,                 1.7512,                 2.0445,                0.48453,                0.30291,                0.30739,                0.14263,                 2.0692,                 1.8566,                 2.1446,               0.009802,               0.009802,               0.009802
                     10,                 1.9998,                 1.6931,                 1.9669,                0.52313,                 0.3278,                0.31104,                0.14613,                   2.01,                 1.8518,                 2.0835,              0.0097773,              0.0097773,              0.0097773
                     11,                 1.9438,                 1.6629,                  1.937,                0.53798,                0.32132,                0.32745,                0.15894,                 1.9896,                  1.876,                 2.0581,              0.0097525,              0.0097525,              0.0097525
                     12,                 1.8998,                 1.6298,                 1.9054,                0.50202,                0.35611,                0.34136,                0.16347,                 2.0063,                 1.9255,                 2.0678,              0.0097278,              0.0097278,              0.0097278
                     13,                 1.8694,                 1.5788,                 1.8536,                0.56708,                0.35086,                 0.3691,                0.18393,                  1.916,                 1.8123,                 1.9706,               0.009703,               0.009703,               0.009703
                     14,                  1.834,                 1.5482,                 1.8126,                0.43653,                  0.307,                0.28724,                0.13793,                 1.9502,                 1.7663,                 2.0088,              0.0096783,              0.0096783,              0.0096783
                     15,                 1.8174,                 1.5434,                 1.8045,                0.62042,                0.32025,                0.35865,                 0.1819,                 1.8687,                 1.9746,                 1.9331,              0.0096535,              0.0096535,              0.0096535
                     16,                 1.7772,                 1.5097,                 1.7737,                0.57628,                0.36581,                0.39797,                0.20338,                 1.8315,                 1.6034,                 1.8846,              0.0096288,              0.0096288,              0.0096288
